num,num_in_list,name,profile,response,level_to_speach,level,classes_to_speach,class,min_class,max_class,prof_subject,stage
215,56,Олимпиада школьников по экономике в рамках международного экономического фестиваля школьников «Сибириада. Шаг в мечту»,экономика,экономика,второй,2,с седьмого по одиннадцатый,с 7 по 11,7,11,экономика,"первый отборочный тур, второй тур и финал"
216,57,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,журналистика,журналистика,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,журналистика,отборочный и заключительный
217,57,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,иностранный язык,иностранный язык,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,английский язык,отборочный и заключительный
218,57,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,история,история,второй,2,с шестого по одиннадцатый,с 6 по 11,6,11,история,отборочный и заключительный
219,57,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,обществознание,обществознание,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,обществознание,отборочный и заключительный
220,57,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,политология,право,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,политология,отборочный и заключительный
221,57,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,финансовая грамотность,экономика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,экономика,отборочный и заключительный
222,57,Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,экономика,экономика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,экономика,отборочный и заключительный
223,58,Олимпиада школьников Санкт-Петербургского государственного университета,биология,биология,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,биология,отборочный и заключительный
224,58,Олимпиада школьников Санкт-Петербургского государственного университета,география,география,первый,1,с шестого по одиннадцатый,с 6 по 11,6,11,география,отборочный и заключительный
225,58,Олимпиада школьников Санкт-Петербургского государственного университета,журналистика,журналистика,первый,1,с девятого по одиннадцатый,с 9 по 11,9,11,журналистика,отборочный и заключительный
226,58,Олимпиада школьников Санкт-Петербургского государственного университета,иностранный язык,иностранный язык,первый,1,с седьмого по одиннадцатый,с 7 по 11,7,11,иностранный язык,отборочный и заключительный
227,58,Олимпиада школьников Санкт-Петербургского государственного университета,информатика,информатика,первый,1,с седьмого по одиннадцатый,с 7 по 11,7,11,информатика,отборочный и заключительный
228,58,Олимпиада школьников Санкт-Петербургского государственного университета,история,история,первый,1,с шестого по одиннадцатый,с 6 по 11,6,11,история,отборочный и заключительный
229,58,Олимпиада школьников Санкт-Петербургского государственного университета,математика,математика,первый,1,с шестого по одиннадцатый,с 6 по 11,6,11,математика,отборочный и заключительный
230,58,Олимпиада школьников Санкт-Петербургского государственного университета,медицина,медицина,первый,1,с седьмого по одиннадцатый,с 7 по 11,7,11,"лечебное дело, стоматология, психология, клиническая психология",отборочный и заключительный
231,58,Олимпиада школьников Санкт-Петербургского государственного университета,обществознание,обществознание,первый,1,с восьмого по одиннадцатый,с 8 по 11,8,11,обществознание,отборочный и заключительный
232,58,Олимпиада школьников Санкт-Петербургского государственного университета,право,право,первый,1,с седьмого по одиннадцатый,с 7 по 11,7,11,право,отборочный и заключительный
